Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"(10piece)100% New TP4056E TP4056 4056E sop-8 Chipset","Charge the battery",1,0.50,"https://www.aliexpress.com/item/32714366180.html?aem_p4p_detail=202603222043591094042262766200003452638&algo_exp_id=33ea81d5-8b5b-4970-9c73-858ba564bd10-3&pdp_ext_f=%7B%22order%22%3A%221147%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32714366180%7C_p_origin_prod%3A&search_p4p_id=202603222043591094042262766200003452638_1","Aliexpress"
"(10piece) 100% New SDB628 B628 B6284 sot23-6 Chipset","The converter",1,0.74,"https://www.aliexpress.com/item/32868057947.html?aem_p4p_detail=202603222036092226888072432000003377486&algo_exp_id=20ad7ece-9117-4a0d-a6fd-098d8dbbfdb7-3&pdp_ext_f=%7B%22order%22%3A%22161%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32868057947%7C_p_origin_prod%3A&search_p4p_id=202603222036092226888072432000003377486_1","Aliexpress"
"100pcs 0805 1% 1/8W SMD chip resistor 0R ~ 10M 0 1R 10R 100R 220R 330R 470R 1K 4.7K 10K 47K 100K 1M 10M 0 1 10 100 330 470 ohm (15k)","TO resist",1,1.98,"https://www.aliexpress.com/item/1005001437042051.html?algo_exp_id=ebe26718-22a7-4582-946b-8584fe106e68-6&pdp_ext_f=%7B%22order%22%3A%22659%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001437042051%7C_p_origin_prod%3A","Aliexpress"
"100pcs 0805 1% 1/8W SMD chip resistor 0R ~ 10M 0 1R 10R 100R 220R 330R 470R 1K 4.7K 10K 47K 100K 1M 10M 0 1 10 100 330 470 ohm (110K)","To Provide Resistance",1,1.98,"https://www.aliexpress.com/item/1005001437042051.html?algo_exp_id=ebe26718-22a7-4582-946b-8584fe106e68-6&pdp_ext_f=%7B%22order%22%3A%22659%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001437042051%7C_p_origin_prod%3A","Aliexpress"
"100PCS SS14 SS24 SS34 SS16 SS26 SS36 SS110 SS210 SS310 SS54 SS56 SS510 1A 40V SMA DO-214AC SMD Schottky Diodes (SS24 SMA)","For the booster",1,2.66,"https://www.aliexpress.com/item/1005005609558264.html?utparam-url=scene%3Aimage_search%7Cquery_from%3Aapp_pdp_sold_out%7Cx_object_id%3A1005005609558264%7C_p_origin_prod%3A&algo_exp_id=cb9a4ba9-0741-49ce-accd-e91848ced64d&pdp_ext_f=%7B%22order%22%3A%22195%22%2C%22fromPage%22%3A%22search%22%7D","Aliexpress"
"10Pcs USB Connector Type C Female Jack 2/6/16/24Pin SMD SMT Type-C Socket Charging Port For PCB Soldering DIY Repair Adapter (Color: Type C 16Pin)","Charging",1,2.10,"https://www.aliexpress.com/item/1005007426642375.html?algo_exp_id=391e751f-ff8e-45df-88cf-92cfd51b192a-4&pdp_ext_f=%7B%22order%22%3A%22202%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007426642375%7C_p_origin_prod%3A","Aliexpress"
"10pcs SMD Molding Power Inductors 0420 0520 0530 0630 0650 1uH 1.5uH 2.2uH 3.3uH 4.7uH 6.8uH 10uH 15uH 22uH 33uH 47uH Inductor (Volume: 0420 4x4x2mm Value of Resistance: 4.7uh)","Boost Circuit",1,4.29,"https://www.aliexpress.com/item/1005007254030376.html?aem_p4p_detail=20260319180540795219659694000001455410&algo_exp_id=b9dba58d-89db-4104-9bad-40382ef6a591-3&pdp_ext_f=%7B%22order%22%3A%22367%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007254030376%7C_p_origin_prod%3A&search_p4p_id=20260319180540795219659694000001455410_1","Aliexpress"
"20 Pcs 2.54 Breakable Pin Header PCB JST Connector Strip For Arduino DIY Kit 10 Pairs 40 Pin 1x40 Single Row Male And Female","Connecting components & ESP32",1,4.48,"https://www.aliexpress.com/item/1005010347602299.html?algo_exp_id=b5b9f6a0-cdfc-43fa-b85d-5abe68c789fa-0&pdp_ext_f=%7B%22order%22%3A%22210%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010347602299%7C_p_origin_prod%3A","Aliexpress"
"1Box JST SH1.0/1.25mm/PH 2.0/SM/SYP/XH 2.54mm/KF2510/VH 3.96mm Pitch Terminal Kit Male Female Housing Pin Header JST Connector (PH 2.0mm)","Connecting",1,3.09,"https://www.aliexpress.com/item/1005008783240077.html?algo_exp_id=314b4ae3-020a-4808-b2d8-0b59ed926797-6&pdp_ext_f=%7B%22order%22%3A%221965%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008783240077%7C_p_origin_prod%3A","Aliexpress"
"10PCS Nichicon PW Electrolytic capacitors 10V 16V 25V 35V 50V 63V 100V 10UF 22UF 47UF 100UF 220UF 470UF 820UF 1000UF 1200UF NEW (Capacitance: 50V100UF 8X12MM)","Keep motors ready for action!",1,4.79,"https://www.aliexpress.com/item/1005009257286633.html?algo_exp_id=cc74ec04-ceb5-40bd-b2ab-8c0c18abeedb-0&pdp_ext_f=%7B%22order%22%3A%22263%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009257286633%7C_p_origin_prod%3A","Aliexpress"
